DeviceCategory,PremiumPDPPercentage,PremiumCategoryPagePercentage,FilteredBrand,AvgPrice,MinPrice,PremiumInCart,PDPContain35,Target
mobile,0.22222222222222221,0,0,109.71875,73,0,0,0
desktop,0,0,0,45.6,45.6,0,1,0
mobile,1,0,0,223,223,1,0,1
desktop,0.15,0.36363636363636365,0,69.1,39.6,0,0,0
desktop,1,0,0,342,342,1,0,1
mobile,0.75,0,0,290.6,192,1,1,1
desktop,0,0,0,37.2,37.2,0,0,0
desktop,0.42857142857142855,0,0,117.5,116,,0,0
desktop,1,0,0,208,208,1,0,1
mobile,1,0.375,18,161.18947368421055,70.8,1,1,1
mobile,1,0,0,182.04444444444442,151,1,0,1
mobile,0.66666666666666663,0,0,286,286,1,0,1
desktop,0,0,0,72,61,0,1,0
mobile,1,0,2,112,112,1,0,1
mobile,0,0,0,72.457142857142856,56.4,0,0,0
desktop,0,0,0,44.731428571428573,31.8,1,0,0
mobile,1,0,0,151,151,1,0,1
mobile,1,1,0,163,163,1,0,1
desktop,1,0.5,2,216.23529411764704,163,1,0,1
desktop,0.63636363636363635,0.72,8,195.2846715328468,142,1,1,1
mobile,1,0,2,208,208,1,0,1
mobile,0.81818181818181823,0.41176470588235292,38,156.59803921568647,93,1,0,1
mobile,1,0,2,266,266,1,0,1
mobile,1,0,0,124,124,1,0,1
mobile,1,0.66666666666666663,0,120.35999999999999,70.8,1,0,1
desktop,1,0.66666666666666663,0,265.33333333333337,259,1,0,1
desktop,0,0.5,0,58.8,58.8,0,0,0
desktop,1,0,0,149.6,149.6,1,0,1
desktop,0,0,0,70.333333333333329,39,0,1,0
mobile,1,0,0,92.573333333333323,72.6,0,0,0
desktop,1,1,0,225.87272727272727,133.8,1,0,1
mobile,1,0,0,112,92,,0,0
mobile,0,0,0,58,58,0,0,0
desktop,0,0,0,69.205882352941146,55,0,0,0
desktop,0,0,0,92.470588235294116,73,0,0,0
mobile,0,0.5,0,74,74,0,1,0
mobile,0.0625,0.3,0,96.248780487804879,51,0,1,0
mobile,0,0,0,127.23636363636363,39.6,1,0,1
desktop,0,0,0,48,48,0,0,0
desktop,0,0,0,88.5,74,0,1,0
